date,author,start_price,end_price,year,tech,decade,dimension,technique,category
2002.0,Valdur Ohakas,639.12,830.85,1963.0,"õli, kartong",1960.0,1642.56,Oil on cardboard,Oil paint
2002.0,Valdur Ohakas,639.12,639.12,1963.0,"õli, kartong",1960.0,1541.6,Oil on cardboard,Oil paint
2002.0,Valdur Ohakas,639.12,639.12,1963.0,"õli, papp",1960.0,1585.5,Oil on cardboard,Oil paint
2002.0,Ardo Sivadi,1022.59,3099.71,1932.0,"õli, lõuend",1930.0,5200.0,Oil on canvas,Oil paint
2002.0,Ülo Sooster,511.29,1182.37,1957.0,"tušš, guašš, paber",1950.0,282.8,Gouache,Other paint
2002.0,Balder Tomasberg,894.76,1310.19,1917.0,"akvarell, paber",1910.0,2081.3399999999997,Watercolour,Other paint
2002.0,Karl Alexander von Winkler,1022.59,2141.04,1908.0,"akvarell, paber",1900.0,1989.0,Watercolour,Other paint
2002.0,Priidu,575.2,575.2,1959.0,"õli, lõuend",1950.0,3816.0,Oil on canvas,Oil paint
2002.0,Ida,575.2,575.2,1945.0,"õli, lõuend",1940.0,4331.0,Oil on canvas,Oil paint
2002.0,Ann,1469.97,1533.88,1960.0,"õli, vineer",1960.0,1925.0,Oil on wood,Oil paint
2002.0,Elmar,2109.08,2109.08,1931.0,"õli, lõuend",1930.0,3417.0,Oil on canvas,Oil paint
2002.0,Elmar,1150.41,1885.39,1967.0,"tempera, papp",1960.0,1804.0,Tempera,Other paint
2002.0,Elmar,1086.5,1086.5,1970.0,"tempera, papp",1970.0,1493.85,Tempera,Other paint
2002.0,Elmar,1214.32,1214.32,1940.0,"õli, lõuend",1940.0,5088.0,Oil on canvas,Oil paint
2002.0,Raoul,1597.79,1597.79,2002.0,"õli, papp, vineer",2000.0,15200.0,Oil on wood,Oil paint
2002.0,Pjotr,2556.47,3706.88,1912.0,"õli, lõuend",1910.0,2436.0,Oil on canvas,Oil paint
2002.0,Lepo,1214.32,2556.47,1957.0,"õli, lõuend",1950.0,5980.0,Oil on canvas,Oil paint
2002.0,Juhan,766.94,1086.5,1930.0,"õli, lõuend",1930.0,2622.0,Oil on canvas,Oil paint
2002.0,Evald,830.85,2109.08,1954.0,"õli, lõuend",1950.0,1710.0,Oil on canvas,Oil paint
2002.0,Varmo,351.51,926.72,1961.0,"õli, kartong",1960.0,1323.0,Oil on cardboard,Oil paint
2002.0,Richard,1150.41,1757.57,1930.0,"õli, lõuend",1930.0,3294.0,Oil on canvas,Oil paint
2002.0,Richard,3515.14,3515.14,1940.0,"õli, lõuend",1940.0,16263.0,Oil on canvas,Oil paint
2002.0,Aleksander,894.76,1949.31,1959.0,"õli, lõuend",1950.0,3100.0,Oil on canvas,Oil paint
2001.0,Ann Audova,1022.59,1150.41,1943.0,"õli, papp",1940.0,1845.0,Oil on cardboard,Oil paint
2001.0,Bergman,5432.49,9395.01,1939.0,"õli, lõuend",1930.0,19250.0,Oil on canvas,Oil paint
2001.0,Bergman,2300.82,2300.82,1941.0,"õli, lõuend",1940.0,4800.0,Oil on canvas,Oil paint
2001.0,Jaan Grünberg,894.76,894.76,1940.0,"õli, papp",1940.0,1271.0,Oil on cardboard,Oil paint
2001.0,Richard Kaljo,766.94,766.94,1943.0,puulõige,1940.0,1200.0,Wood cut,Other
2001.0,Elmar Kits,958.67,1150.41,1968.0,"tempera, paber",1960.0,2009.0,Tempera,Other paint
2001.0,Elmar Kits,1022.59,2556.47,1969.0,"õli, lõuend",1960.0,2100.0,Oil on canvas,Oil paint
2001.0,Alfred Kongo,894.76,1150.41,1976.0,"õli, lõuend",1970.0,3564.0,Oil on canvas,Oil paint
2001.0,Eduard Kutsar,830.85,1597.79,1930.0,"õli, papp",1930.0,1862.0,Oil on cardboard,Oil paint
2001.0,Eduard Kutsar,1086.5,1214.32,1930.0,"õli, lõuend",1930.0,3087.0,Oil on canvas,Oil paint
2001.0,Märt Laarman,894.76,1725.61,1923.0,"õli, lõuend",1920.0,1666.0,Oil on canvas,Oil paint
2001.0,Peeter Mudist,2109.08,2300.82,1970.0,"õli, lõuend",1970.0,13494.0,Oil on canvas,Oil paint
2001.0,Juhan Muks,830.85,830.85,1970.0,"õli, papp",1970.0,3149.0,Oil on cardboard,Oil paint
2001.0,Eduard Ole,607.16,607.16,1959.0,akvarell,1950.0,1665.0,Watercolour,Other paint
2001.0,Erich Pehap,383.47,383.47,1930.0,linoollõige,1930.0,588.0,Linoleum,Graphics
2001.0,Henn Roode,2300.82,2556.47,1962.0,"õli, lõuend",1960.0,3350.0,Oil on canvas,Oil paint
2001.0,Richard Sagrits,894.76,1118.45,1946.0,"õli, lõuend",1940.0,5232.5,Oil on canvas,Oil paint
2001.0,Konstantin Süvalo,766.94,2748.2,1920.0,"õli, lõuend",1920.0,2120.0,Oil on canvas,Oil paint
2001.0,Nikolai Triik,3067.76,3163.63,1900.0,"õli, lõuend vineeril",1900.0,900.0,Oil on wood,Oil paint
2001.0,Ado Vabbe,3770.79,4345.99,1934.0,"õli, lõuend",1930.0,1242.0,Oil on canvas,Oil paint
2001.0,Johannes Võerahansu,3451.23,7413.75,1944.0,"õli, lõuend",1940.0,7950.0,Oil on canvas,Oil paint
2001.0,Ann Audova,1150.41,1565.84,1930.0,"õli, vineer",1930.0,2895.75,Oil on wood,Oil paint
2001.0,Jaan Grünberg,1086.5,2077.13,1940.0,"õli, kartong",1940.0,2380.75,Oil on cardboard,Oil paint
2001.0,Erik Haamer,2173.0,3195.58,1939.0,"õli, vineer",1930.0,1083.0,Oil on wood,Oil paint
2001.0,Elmar Kits,1469.97,1693.66,1948.0,"õli, lõuend",1940.0,2120.0,Oil on canvas,Oil paint
2001.0,Elmar Kits,830.85,830.85,1960.0,"õli, lõuend",1960.0,2120.0,Oil on canvas,Oil paint
